=== Log Start ===
2024/10/20 00:29:42: [Log] _signalPool: SignalPool (SignalPool)
2024/10/20 00:29:42: [Log] _uiManager: UI Manager (UIManager)
2024/10/20 00:29:42: [Log] Changing state from  to SceneSetupSstate
2024/10/20 00:29:42: [Log] 新しいシーンを読み込み中。。。。
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:29:44: [Log] <color=yellow>Current State: SceneSetupSstate</color>
