=== Log Start ===
2024/10/20 00:10:50: [Log] _signalPool: SignalPool (SignalPool)
2024/10/20 00:10:50: [Log] _uiManager: UI Manager (UIManager)
2024/10/20 00:10:50: [Log] Changing state from  to SceneSetupSstate
2024/10/20 00:10:50: [Log] 新しいシーンを読み込み中。。。。
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:10:52: [Log] <color=yellow>Current State: SceneSetupSstate</color>
