=== Log Start ===
2024/10/20 06:04:30: [Log] CoreManagerを新しく生成しました。
2024/10/20 06:04:30: [Log] FlowManagerが生成されました。
2024/10/20 06:04:30: [Log] ゲームの初期化が完了しました。
2024/10/20 06:04:31: [Log] 新しいSignalBucketを登録しました: StateChanged
2024/10/20 06:04:31: [Log] 新しいイベントを登録しました: StateChanged
2024/10/20 06:04:31: [Log] _signalPool: SignalPool (SignalPool)
2024/10/20 06:04:31: [Log] _uiManager: UI Manager (UIManager)
2024/10/20 06:04:31: [Log] Changing state from  to SceneSetupSstate
2024/10/20 06:04:31: [Log] イベントをポップしています: StateChanged
2024/10/20 06:04:31: [Log] 新しいシーンを読み込み中。。。。
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 06:04:33: [Log] <color=yellow>Current State: SceneSetupSstate</color>
